Year,CoC Number,CoC Name,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered ES Homeless Individuals,Sheltered TH Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Overall Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals
2008,NJ-504,Newark/Essex County CoC,1036.0,749.0,135.0,884.0,152.0,683.0,482.0,86.0,568.0,115.0,353.0,267.0,49.0,316.0,37.0,84.0,53.0,16.0,69.0,15.0,128.0,110.0,18.0
2008,NJ-506,"Jersey City, Bayonne/Hudson County CoC",2227.0,1694.0,282.0,1976.0,251.0,682.0,440.0,64.0,504.0,178.0,1545.0,1254.0,218.0,1472.0,73.0,548.0,473.0,59.0,532.0,16.0,93.0,63.0,30.0
2008,NJ-507,New Brunswick/Middlesex County CoC,792.0,275.0,270.0,545.0,247.0,394.0,151.0,110.0,261.0,133.0,398.0,124.0,160.0,284.0,114.0,125.0,42.0,57.0,99.0,26.0,61.0,42.0,19.0
2008,NJ-508,Monmouth County CoC,763.0,429.0,247.0,676.0,87.0,311.0,211.0,44.0,255.0,56.0,452.0,218.0,203.0,421.0,31.0,140.0,62.0,70.0,132.0,8.0,84.0,74.0,10.0
2008,NJ-509,Morris County CoC,224.0,96.0,93.0,189.0,35.0,148.0,72.0,41.0,113.0,35.0,76.0,24.0,52.0,76.0,0.0,30.0,10.0,20.0,30.0,0.0,30.0,20.0,10.0
2008,NJ-510,Lakewood Township/Ocean County CoC,337.0,262.0,47.0,309.0,28.0,188.0,149.0,11.0,160.0,28.0,149.0,113.0,36.0,149.0,0.0,51.0,40.0,11.0,51.0,0.0,40.0,36.0,4.0
2008,NJ-511,Paterson/Passaic County CoC,518.0,219.0,95.0,314.0,204.0,338.0,129.0,51.0,180.0,158.0,180.0,90.0,44.0,134.0,46.0,58.0,27.0,22.0,49.0,9.0,51.0,26.0,25.0
2008,NJ-512,Salem County CoC,310.0,157.0,145.0,302.0,8.0,136.0,104.0,27.0,131.0,5.0,174.0,53.0,118.0,171.0,3.0,59.0,15.0,43.0,58.0,1.0,28.0,26.0,2.0
2008,NJ-513,Somerset County CoC,302.0,100.0,185.0,285.0,17.0,177.0,47.0,116.0,163.0,14.0,125.0,53.0,69.0,122.0,3.0,36.0,16.0,19.0,35.0,1.0,12.0,7.0,5.0
2008,NJ-514,Trenton/Mercer County CoC,989.0,530.0,321.0,851.0,138.0,522.0,325.0,125.0,450.0,72.0,467.0,205.0,196.0,401.0,66.0,110.0,53.0,40.0,93.0,17.0,82.0,62.0,20.0
2008,NJ-515,Elizabeth/Union County CoC,1188.0,347.0,725.0,1072.0,116.0,423.0,190.0,129.0,319.0,104.0,765.0,157.0,596.0,753.0,12.0,272.0,41.0,229.0,270.0,2.0,79.0,46.0,33.0
2008,NJ-516,"Warren, Sussex, Hunterdon Counties CoC",693.0,377.0,277.0,654.0,39.0,308.0,190.0,93.0,283.0,25.0,385.0,187.0,184.0,371.0,14.0,137.0,72.0,61.0,133.0,4.0,57.0,53.0,4.0
2008,NM-500,Albuquerque CoC,1276.0,473.0,516.0,989.0,287.0,821.0,402.0,204.0,606.0,215.0,455.0,71.0,312.0,383.0,72.0,147.0,24.0,100.0,124.0,23.0,159.0,78.0,81.0
2008,NM-501,New Mexico Balance of State CoC,1739.0,485.0,274.0,759.0,980.0,1040.0,341.0,116.0,457.0,583.0,699.0,144.0,158.0,302.0,397.0,220.0,48.0,54.0,102.0,118.0,552.0,167.0,385.0
2008,NV-500,Las Vegas/Clark County CoC,7533.0,976.0,2868.0,3844.0,3689.0,5624.0,900.0,2002.0,2902.0,2722.0,1909.0,76.0,866.0,942.0,967.0,606.0,30.0,255.0,285.0,321.0,808.0,174.0,634.0
2008,NV-501,"Reno, Sparks/Washoe County CoC",863.0,420.0,345.0,765.0,98.0,742.0,379.0,268.0,647.0,95.0,121.0,41.0,77.0,118.0,3.0,40.0,16.0,23.0,39.0,1.0,33.0,0.0,33.0
2008,NV-502,Nevada Balance of State CoC,330.0,129.0,125.0,254.0,76.0,146.0,61.0,48.0,109.0,37.0,184.0,68.0,77.0,145.0,39.0,63.0,32.0,24.0,56.0,7.0,113.0,50.0,63.0
2008,NY-500,"Rochester, Irondequoit, Greece/Monroe County CoC",595.0,378.0,213.0,591.0,4.0,320.0,230.0,86.0,316.0,4.0,275.0,148.0,127.0,275.0,0.0,112.0,65.0,47.0,112.0,0.0,83.0,79.0,4.0
2008,NY-501,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",177.0,28.0,148.0,176.0,1.0,151.0,16.0,134.0,150.0,1.0,26.0,12.0,14.0,26.0,0.0,9.0,3.0,6.0,9.0,0.0,2.0,2.0,0.0
